ID,Date,League,Team1,Team2,GT1,GT2,HGF,DGF
497,2014-10-25,1. FBL Herren,ETV Piranhhas,Red Hocks Kaufering,4,3,T,F
9464,2014-10-25,Regionalliga Nordwest (Herren GF),STV Sedelsberg Hawks,SG Hannover,5,4,T,F
5656,2014-10-25,Westliga Herren Großfeld,SSF Dragons Bonn II,TSG Erlensee,2,3,T,F
5603,2014-10-25,2. FBL Nord/West,Blau-Weiß 96 Schenefeld,Dümptener Füchse,2,2,T,F
2420,2014-10-26,2. FBL Süd/Ost,TV Schriesheim,Floorball Tigers Magdeburg,3,3,T,F
6874,2014-10-26,RL Herren GF Staffel 1,UV Zwigge 07,UHC Döbeln 06 II,6,4,T,F
3685,2014-10-26,RL Herren GF Staffel 2,FBC Phönix Leipzig,Floorball Grizzlys Salzwedel,3,5,T,F
277,2014-10-26,Regionalliga Süd (GF),DJK Giants Karlsruhe-Ost,Sportvg Feuerbach,1,4,T,F
2221,2014-10-26,1. FBL Herren,Red Devils Wernigerode,MFBC Leipzig,7,7,T,F
1729,2014-10-26,Regionalliga Nordwest (Herren GF),TuS Bloherfelde,TV Lilienthal,2,4,T,F
5560,2014-10-26,RL Herren GF Staffel 2,SG PSV 90 Dessau / SV Rotta,Red Devils Wernigerode U23,3,12,T,F
2268,2014-10-26,1. FBL Herren,BAT Berlin,UHC Weißenfels,8,9,T,F
7000,2014-10-26,Regionalliga Nordwest (Herren GF),SG Mittelnkirchen/Stade,TB Uphusen Vikings,6,7,T,F
1855,2014-10-26,RL Herren GF Staffel 1,Partisan Connewitz,UHC Sparkasse Weißenfels Damen,2,5,T,F
5600,2014-10-26,Regionalliga Süd (GF),SG Calw-Tübingen,DJK Giants Karlsruhe-Ost,7,3,T,F
6897,2014-10-26,1. FBL Herren,Unihockey Igels Dresden,Floor Fighters Chemnitz,3,13,T,F
6822,2014-10-26,Regionalliga Süd (GF),Sportvg Feuerbach,SG Calw-Tübingen,2,6,T,F
1923,2014-10-26,2. FBL Süd/Ost,USV Halle Saalebiber,USV TU Dresden,12,5,T,F
7691,2014-10-26,2. FBL Süd/Ost,Black Lions Landsberg,SC DHfK Leipzig,2,13,T,F
5727,2014-10-26,1. FBL Herren,TV Lilienthal,Red Hocks Kaufering,3,8,T,F
4009,2014-11-08,2. FBL Nord/West,Blau-Weiß 96 Schenefeld,Floorball Butzbach,5,7,T,F
6999,2014-11-08,Regionalliga Süd (GF),VfL Red Hocks Kaufering II,FC Stern München,2,6,T,F
8922,2014-11-08,1. FBL Herren,Unihockey Igels Dresden,SSF Dragons Bonn,9,2,T,F
2297,2014-11-08,2. FBL Süd/Ost,PTSV United Lakers Konstanz,USV Halle Saalebiber,5,4,T,F
3465,2014-11-08,Regionalliga Süd (GF),ESV Ingolstadt-Ringsee,PSV Wikinger München,4,3,T,F
8335,2014-11-08,Herren Großfeld Verbandsliga Nord,TSC Wellingsbüttel,BW96 Schenefeld II,9,3,T,F
8521,2014-11-08,Regionalliga Nordwest (Herren GF),ATS Buntentor Knights,TuS Bloherfelde,7,5,T,F
2072,2014-11-08,Regionalliga Süd (GF),PSV Wikinger München,VfL Red Hocks Kaufering II,10,1,T,F
4470,2014-11-08,1. FBL Herren,MFBC Leipzig,UHC Weißenfels,7,9,T,F
2659,2014-11-08,1. FBL Herren,TV Lilienthal,ETV Piranhhas,6,5,T,F
2950,2014-11-08,Herren Großfeld Regionalliga Nord,PSV Flensburg,Kieler Floorball Klub I,4,9,T,F
7207,2014-11-08,1. FBL Herren,BAT Berlin,Floor Fighters Chemnitz,5,4,T,F
3714,2014-11-08,Regionalliga Nordwest (Herren GF),TSV Lesum-Burgdamm,SG Hannover,3,10,T,F
9144,2014-11-08,2. FBL Nord/West,Dümptener Füchse,Frankfurt Falcons,8,6,T,F
2809,2014-11-08,Herren Großfeld Verbandsliga Nord,TSV Schwarzenbek,Kieler Floorball Klub II,9,2,T,F
7483,2014-11-08,Herren Großfeld Verbandsliga Nord,SG Gettorf/Barkelsby,TSV Bordesholm,3,11,T,F
9561,2014-11-08,RL Herren GF Staffel 1,Unihockey Igels Dresden II,UHC Sparkasse Weißenfels Damen,9,5,T,F
3773,2014-11-08,RL Herren GF Staffel 1,Floor Fighters Chemnitz II,SG Heidenau/Graupa,7,0,T,F
1338,2014-11-08,Regionalliga Süd (GF),FC Stern München,ESV Ingolstadt-Ringsee,2,6,T,F
9552,2014-11-08,2. FBL Süd/Ost,Black Lions Landsberg,UHC Döbeln 06,5,8,T,F
8083,2014-11-08,Herren Großfeld Regionalliga Nord,SG Kölln-Reisiek,ETV Hamburg II,1,5,T,F
1077,2014-11-09,2. FBL Süd/Ost,USV TU Dresden,TV Schriesheim,3,12,T,F
7190,2014-11-09,Regionalliga Süd (GF),Panther Regensburg,Sportvg Feuerbach,5,3,T,F
6795,2014-11-09,RL Herren GF Staffel 2,SG PSV 90 Dessau / SV Rotta,FBC Phönix Leipzig,2,6,T,F
1984,2014-11-09,2. FBL Nord/West,Westfälischer Floorball Club,TV Eiche Horn Bremen,3,10,T,F
1781,2014-11-09,RL Herren GF Staffel 1,UHC Sparkasse Weißenfels Damen,UV Zwigge 07,2,4,T,F
6237,2014-11-09,RL Herren GF Staffel 2,USV Halle Saalebiber II,Floorball Grizzlys Salzwedel,5,6,T,F
7693,2014-11-09,Regionalliga Nordwest (Herren GF),STV Sedelsberg Hawks,TV Lilienthal,9,4,T,F
6699,2014-11-09,1. FBL Herren,Red Hocks Kaufering,Red Devils Wernigerode,7,8,T,F
9231,2014-11-09,Regionalliga Süd (GF),Sportvg Feuerbach,SG Rohrdorf-Nürnberg,1,5,T,F
3707,2014-11-09,RL Herren GF Staffel 1,Unihockey Igels Dresden II,Floor Fighters Chemnitz II,2,4,T,F
6032,2014-11-09,Regionalliga Süd (GF),SG Rohrdorf-Nürnberg,DJK Giants Karlsruhe-Ost,6,3,T,F
9086,2014-11-09,Regionalliga Süd (GF),DJK Giants Karlsruhe-Ost,Panther Regensburg,1,9,T,F
9553,2014-11-09,1. FBL Herren,BAT Berlin,ETV Piranhhas,6,8,T,F
5415,2014-11-09,2. FBL Nord/West,Frankfurt Falcons,DJK Holzbüttgen,3,5,T,F
9559,2014-11-09,Regionalliga Nordwest (Herren GF),SG Mittelnkirchen/Stade,SG Seebergen/Lilienthal (GF),10,8,T,F
4832,2014-11-09,1. FBL Herren,UHC Weißenfels,SSF Dragons Bonn,11,3,T,F
5235,2014-11-09,2. FBL Nord/West,TSV Neuwittenbek,Floorball Butzbach,8,7,T,F
6260,2014-11-15,Stena Line FD-Pokal (Herren),UHC Weißenfels,TV Eiche Horn Bremen,10,6,T,F
7795,2014-11-15,Stena Line FD-Pokal (Herren),PSV Wikinger München,TV Schriesheim,7,11,T,F
6350,2014-11-15,Stena Line FD-Pokal (Herren),BAT Berlin II,ETV Piranhhas,3,13,T,F
2091,2014-11-15,Stena Line FD-Pokal (Herren),ATS Buntentor Knights,Red Devils Wernigerode,6,19,T,F
5270,2014-11-15,Stena Line FD-Pokal (Herren),UHC Sparkasse Weißenfels II,Red Devils Wernigerode U23,9,0,T,F
5206,2014-11-15,Stena Line FD-Pokal (Herren),Dümptener Füchse,USV TU Dresden,4,3,T,F
4645,2014-11-15,Stena Line FD-Pokal (Herren),Frankfurt Falcons,Floorball Butzbach,5,6,T,F
2143,2014-11-16,Herren Großfeld,BAT Berlin II,Floorball Nordost,3,1,T,F
2643,2014-11-16,Stena Line FD-Pokal (Herren),SG Mittelnkirchen/Stade,TSV Neuwittenbek,3,10,T,F
4047,2014-11-16,Herren Großfeld,Floorball Team Charlottenburg,Berliner FK,6,5,T,F
3532,2014-11-16,Stena Line FD-Pokal (Herren),TV Lilienthal,BAT Berlin,5,3,T,F
5712,2014-11-16,Stena Line FD-Pokal (Herren),SG Hannover,DJK Holzbüttgen,6,3,T,F
590,2014-11-16,Stena Line FD-Pokal (Herren),MFBC Leipzig,SC DHfK Leipzig,12,0,T,F
4736,2014-11-16,Stena Line FD-Pokal (Herren),MFBC Leipzig/Grimma,SSF Dragons Bonn,5,14,T,F
351,2014-11-22,2. FBL Nord/West,Blau-Weiß 96 Schenefeld,Westfälischer Floorball Club,8,2,T,F
4186,2014-11-22,Westliga Herren Großfeld,ASV Köln,SV Espenau Rangers,7,5,T,F
9304,2014-11-22,Westliga Herren Großfeld,SV Espenau Rangers,Floorball Mainz,6,4,T,F
6566,2014-11-22,Regionalliga Süd (GF),SG Rohrdorf-Nürnberg,PSV Wikinger München,13,7,T,F
403,2014-11-22,Regionalliga Nordwest (Herren GF),TV Lilienthal,SG Hannover,6,9,T,F
4738,2014-11-22,2. FBL Nord/West,Floorball Butzbach,Dümptener Füchse,4,3,T,F
6833,2014-11-22,Regionalliga Süd (GF),VfL Red Hocks Kaufering II,SG Rohrdorf-Nürnberg,2,8,T,F
8489,2014-11-22,Westliga Herren Großfeld,UC Marburger Elche,SSC Hochdahl,7,2,T,F
4735,2014-11-22,Westliga Herren Großfeld,SSF Dragons Bonn II,UC Marburger Elche,4,3,T,F
4014,2014-11-22,Regionalliga Nordwest (Herren GF),ATS Buntentor Knights,STV Sedelsberg Hawks,2,8,T,F
593,2014-11-22,RL Herren GF Staffel 1,Unihockey Igels Dresden II,Partisan Connewitz,14,6,T,F
4297,2014-11-22,RL Herren GF Staffel 1,Floor Fighters Chemnitz II,UV Zwigge 07,8,3,T,F
575,2014-11-22,2. FBL Nord/West,DJK Holzbüttgen,TSV Neuwittenbek,2,2,T,F
4050,2014-11-22,1. FBL Herren,BAT Berlin,Red Devils Wernigerode,6,9,T,F
4058,2014-11-22,Regionalliga Nordwest (Herren GF),TB Uphusen Vikings,TuS Bloherfelde,12,4,T,F
2872,2014-11-22,Regionalliga Süd (GF),PSV Wikinger München,FC Stern München,1,1,T,F
9656,2014-11-22,2. FBL Süd/Ost,UHC Döbeln 06,USV Halle Saalebiber,7,11,T,F
4860,2014-11-22,Regionalliga Süd (GF),FC Stern München,VfL Red Hocks Kaufering II,5,3,T,F
9604,2014-11-22,Westliga Herren Großfeld,SSC Hochdahl,TSV Tollwut Ebersgöns,5,2,T,F
3112,2014-11-22,2. FBL Nord/West,Frankfurt Falcons,TV Eiche Horn Bremen,6,10,T,F
3421,2014-11-22,Westliga Herren Großfeld,TSV Tollwut Ebersgöns,SSF Dragons Bonn II,2,3,T,F
9073,2014-11-22,Westliga Herren Großfeld,TSG Erlensee,ASV Köln,6,9,T,F
8345,2014-11-22,Westliga Herren Großfeld,Floorball Mainz,TSG Erlensee,2,5,T,F
1972,2014-11-22,2. FBL Süd/Ost,PTSV United Lakers Konstanz,Black Lions Landsberg,5,8,T,F
2924,2014-11-22,1. FBL Herren,ETV Piranhhas,UHC Weißenfels,4,6,T,F
3114,2014-11-23,RL Herren GF Staffel 1,Partisan Connewitz,SG Heidenau/Graupa,5,4,T,F
3315,2014-11-23,Regionalliga Nordwest (Herren GF),SG Mittelnkirchen/Stade,TSV Lesum-Burgdamm,10,5,T,F
9260,2014-11-23,2. FBL Süd/Ost,USV TU Dresden,SC DHfK Leipzig,6,11,T,F
9116,2014-11-23,1. FBL Herren,Red Hocks Kaufering,SSF Dragons Bonn,4,5,T,F
3948,2014-11-23,RL Herren GF Staffel 1,UV Zwigge 07,Unihockey Igels Dresden II,2,5,T,F
3695,2014-11-23,2. FBL Süd/Ost,TV Schriesheim,Black Lions Landsberg,15,3,T,F
4691,2014-11-23,Herren Großfeld Verbandsliga Nord,TSC Wellingsbüttel,SG Gettorf/Barkelsby,6,5,T,F
2947,2014-11-23,1. FBL Herren,Floor Fighters Chemnitz,MFBC Leipzig,8,10,T,F
1618,2014-11-23,1. FBL Herren,Unihockey Igels Dresden,TV Lilienthal,5,3,T,F
