,ID,Date,League,GT1,GT2,T1ID,T2ID
222,4735,2014-11-22,Westliga Herren Großfeld,4,3,159,78
223,4014,2014-11-22,Regionalliga Nordwest (Herren GF),2,8,3,163
224,593,2014-11-22,RL Herren GF Staffel 1,14,6,208,88
225,4297,2014-11-22,RL Herren GF Staffel 1,8,3,49,215
226,575,2014-11-22,2. FBL Nord/West,2,2,26,186
227,4050,2014-11-22,1. FBL Herren,6,9,11,97
228,4058,2014-11-22,Regionalliga Nordwest (Herren GF),12,4,170,189
229,2872,2014-11-22,Regionalliga Süd (GF),1,1,95,46
230,9656,2014-11-22,2. FBL Süd/Ost,7,11,200,210
231,4860,2014-11-22,Regionalliga Süd (GF),5,3,46,219
232,9604,2014-11-22,Westliga Herren Großfeld,5,2,157,174
233,3112,2014-11-22,2. FBL Nord/West,6,10,64,194
234,3421,2014-11-22,Westliga Herren Großfeld,2,3,174,159
235,9073,2014-11-22,Westliga Herren Großfeld,6,9,176,1
236,8345,2014-11-22,Westliga Herren Großfeld,2,5,56,176
237,1972,2014-11-22,2. FBL Süd/Ost,5,8,209,15
238,2924,2014-11-22,1. FBL Herren,4,6,38,203
239,3114,2014-11-23,RL Herren GF Staffel 1,5,4,88,121
240,3315,2014-11-23,Regionalliga Nordwest (Herren GF),10,5,127,185
241,9260,2014-11-23,2. FBL Süd/Ost,6,11,213,99
242,9116,2014-11-23,1. FBL Herren,4,5,217,158
243,3948,2014-11-23,RL Herren GF Staffel 1,2,5,215,208
244,3695,2014-11-23,2. FBL Süd/Ost,15,3,197,15
245,4691,2014-11-23,Herren Großfeld Verbandsliga Nord,6,5,175,117
246,2947,2014-11-23,1. FBL Herren,8,10,48,80
247,1618,2014-11-23,1. FBL Herren,5,3,207,76
248,8986,2014-11-29,Herren Großfeld Regionalliga Nord,7,5,124,73
249,5263,2014-11-29,RL Herren GF Staffel 2,6,12,211,43
250,9145,2014-11-29,Herren Großfeld,6,8,59,12
251,5590,2014-11-29,Herren Großfeld Regionalliga Nord,2,12,93,146
252,9538,2014-11-29,Herren Großfeld,2,3,14,58
253,3418,2014-11-29,RL Herren GF Staffel 1,6,2,201,204
254,7168,2014-11-29,RL Herren GF Staffel 2,17,0,81,136
255,2856,2014-11-29,Herren Großfeld Verbandsliga Nord,4,3,23,187
256,8707,2014-11-29,Herren Großfeld Regionalliga Nord,7,6,66,39
257,9282,2014-11-29,Herren Großfeld Verbandsliga Nord,12,4,181,74
258,5108,2014-11-29,RL Herren GF Staffel 2,4,1,205,98
259,1815,2014-11-29,RL Herren GF Staffel 1,15,4,49,88
260,358,2014-11-30,RL Herren GF Staffel 2,6,5,98,81
261,2209,2014-11-30,RL Herren GF Staffel 2,6,2,55,211
262,585,2014-12-05,Regionalliga Ost Herren,3,6,81,49
263,5203,2014-12-05,Regionalliga Ost Herren,12,4,205,98
264,9134,2014-12-06,Regionalliga Süd (GF),5,5,95,112
265,8588,2014-12-06,Regionalliga Süd (GF),3,13,24,95
266,2990,2014-12-06,Regionalliga Süd (GF),4,3,219,24
267,3564,2014-12-06,RL Herren GF Staffel 1,9,0,49,204
268,8030,2014-12-06,Regionalliga Nordwest (Herren GF),0,6,145,163
269,125,2014-12-06,Regionalliga Nordwest (Herren GF),10,3,76,3
270,8753,2014-12-06,Regionalliga Süd (GF),4,3,112,219
271,7069,2014-12-07,Regionalliga Süd (GF),2,2,139,87
272,4218,2014-12-07,Herren Großfeld Regionalliga Nord,15,1,146,93
273,7472,2014-12-07,2. FBL Süd/Ost,11,5,200,213
274,7193,2014-12-07,Regionalliga Süd (GF),4,4,37,46
275,1442,2014-12-07,Herren Großfeld Verbandsliga Nord,8,4,175,23
276,7066,2014-12-07,Regionalliga Süd (GF),5,11,37,87
277,7823,2014-12-07,Herren Großfeld Verbandsliga Nord,7,2,74,117
278,6527,2014-12-07,Herren Großfeld Regionalliga Nord,1,6,66,73
279,4925,2014-12-07,Herren Großfeld Verbandsliga Nord,9,7,187,181
280,3603,2014-12-07,RL Herren GF Staffel 2,7,2,81,211
281,8716,2014-12-07,RL Herren GF Staffel 2,4,7,43,205
282,646,2014-12-07,RL Herren GF Staffel 1,3,4,208,121
283,4711,2014-12-07,Herren Großfeld Regionalliga Nord,4,3,39,124
284,1253,2014-12-07,RL Herren GF Staffel 1,5,6,204,88
285,1268,2014-12-07,Regionalliga Nordwest (Herren GF),5,4,185,189
286,965,2014-12-07,Regionalliga Süd (GF),3,3,46,139
287,5120,2014-12-13,Herren Großfeld,7,4,59,58
288,3836,2014-12-13,Herren Großfeld,3,11,14,12
289,893,2014-12-13,RL Herren GF Staffel 1,5,4,215,49
290,5136,2014-12-13,RL Herren GF Staffel 1,5,4,121,88
291,5172,2014-12-14,RL Herren GF Staffel 2,3,4,55,98
292,5838,2014-12-14,RL Herren GF Staffel 2,4,22,136,205
293,3560,2014-12-20,Stena Line FD-Pokal (Herren),5,4,158,80
294,732,2014-12-20,Stena Line FD-Pokal (Herren),3,5,76,38
295,8827,2014-12-20,Regionalliga Nordwest (Herren GF),3,8,185,76
296,9393,2014-12-20,Stena Line FD-Pokal (Herren),12,0,203,52
297,6155,2014-12-20,Stena Line FD-Pokal (Herren),5,7,118,32
298,4134,2014-12-20,Regionalliga Nordwest (Herren GF),10,9,170,3
299,4337,2014-12-20,Stena Line FD-Pokal (Herren),5,3,205,186
300,3139,2014-12-21,Regionalliga Nordwest (Herren GF),1,10,189,127
301,6193,2014-12-21,Regionalliga Nordwest (Herren GF),5,2,118,145
302,2791,2014-12-21,Stena Line FD-Pokal (Herren),5,15,197,97
303,9669,2015-01-04,RL Herren GF Staffel 1,10,4,49,201
304,5850,2015-01-04,Herren Großfeld,3,4,59,14
305,8898,2015-01-04,RL Herren GF Staffel 1,5,5,208,215
306,4491,2015-01-04,Herren Großfeld,9,2,12,58
307,92,2015-01-10,1. FBL Herren,2,3,11,76
308,4929,2015-01-10,2. FBL Süd/Ost,8,11,200,197
309,1962,2015-01-10,1. FBL Herren,12,6,203,207
310,4869,2015-01-10,Regionalliga Nordwest (Herren GF),9,10,76,170
311,8869,2015-01-10,2. FBL Süd/Ost,7,3,210,15
312,7859,2015-01-10,Herren Großfeld Verbandsliga Nord,13,3,23,117
313,829,2015-01-10,Regionalliga Nordwest (Herren GF),4,6,145,189
314,8170,2015-01-10,Regionalliga Nordwest (Herren GF),2,5,3,127
315,2550,2015-01-10,1. FBL Herren,6,9,217,80
316,8808,2015-01-10,Herren Großfeld Verbandsliga Nord,4,4,181,187
317,9349,2015-01-10,Herren Großfeld Regionalliga Nord,3,15,93,39
318,2311,2015-01-10,1. FBL Herren,5,4,48,38
319,7555,2015-01-10,Herren Großfeld Regionalliga Nord,15,5,73,146
